@relation wizmir
@attribute Max_temperature real[36.7,105.0]
@attribute Min_temperature real[15.8,78.6]
@attribute Dewpoint real[13.6,64.4]
@attribute Precipitation real[0.0,7.6]
@attribute Sea_level_pressure real[29.26,30.48]
@attribute Standard_pressure real[2.3,10.1]
@attribute Visibility real[0.92,29.1]
@attribute Wind_speed real[4.72,68.8]
@attribute Max_wind_speed real[16.11,55.24]
@attribute Mean_temperature real[29.4,89.9]
@inputs Max_temperature, Min_temperature, Dewpoint, Precipitation, Sea_level_pressure, Standard_pressure, Visibility, Wind_speed, Max_wind_speed
@outputs Mean_temperature
@data
88.2, 57.2, 53.6, 0, 29.96, 7.3, 9.09, 16.1, 34.28, 74.3
88, 58.6, 54.9, 0, 29.84, 7.3, 10.7, 18.3, 34.28, 75.2
91.6, 62.1, 60.4, 0, 29.76, 7.2, 8.29, 18.3, 34.28, 76.1
64.4, 42.8, 37.4, 0.2, 30.15, 7.8, 21.1, 27.5, 34.28, 47.1
94.1, 72.3, 46.8, 0, 29.86, 7.2, 17.2, 25.3, 34.28, 83.9
81.3, 62.6, 37.4, 0, 30.01, 6.8, 21.2, 27.5, 34.28, 70.8
62.6, 53.6, 51.4, 0.2, 29.8, 7.9, 17, 25.3, 32.22, 59.7
53.6, 35.6, 30.3, 0, 30.13, 7.6, 16.1, 20.8, 34.28, 44.9
53.4, 44.1, 45.4, 0, 29.97, 7.7, 9.09, 16.1, 34.28, 47.8
91.4, 59.9, 54.1, 0, 29.79, 7.3, 7.37, 20.8, 34.28, 77.8
61.2, 45.3, 43.8, 0.6, 29.94, 7.8, 9.67, 16.1, 34.28, 53.7
47.1, 32.9, 27.4, 0, 29.95, 7.3, 16.6, 25.3, 29.92, 40.1
101, 69.4, 57.9, 0, 29.76, 7.3, 6.44, 16.1, 34.28, 85.5
72.3, 42.6, 42.6, 0, 30.02, 7.2, 7.02, 16.1, 34.28, 57.4
42.8, 33.8, 27.6, 0, 29.73, 7.1, 28.6, 34.4, 50.52, 36.9
71.6, 46.4, 49.1, 0, 30.12, 7.4, 4.49, 9.21, 34.28, 58.5
85.5, 47.8, 47.4, 0, 30.09, 7.3, 4.37, 16.1, 34.28, 64.7
59.4, 39.9, 46.5, 0.8, 29.89, 7.8, 10, 16.1, 34.28, 50.1
46.6, 41, 40.3, 0.2, 30.28, 6.2, 9.55, 18.3, 34.28, 43.7
60.8, 34.2, 37, 0, 29.97, 7.8, 2.65, 9.21, 34.28, 47.4
100, 65.5, 56.5, 0, 29.87, 7.3, 7.6, 18.3, 34.28, 83.2
59.2, 51.3, 51.6, 0.3, 29.72, 7.8, 5.64, 9.21, 34.28, 54.3
46.4, 30.2, 28.1, 0.1, 30.12, 7.3, 10.8, 20.8, 34.28, 36.9
74.5, 48.2, 59.8, 0.1, 30.08, 7.6, 6.56, 18.3, 34.28, 63.2
73.4, 50, 46.2, 0, 30.07, 7.2, 14, 23, 34.28, 61.2
52.2, 40.8, 42.4, 0.1, 29.66, 4.9, 7.94, 13.8, 34.28, 46.3
77, 62.6, 58.8, 0.09, 29.82, 7.9, 11.8, 18.3, 34.28, 69.6
50, 37.2, 30.9, 0, 30.17, 7.3, 18.9, 57.4, 34.28, 42
75.9, 51.1, 53.7, 0, 29.8, 7.3, 9.09, 23, 34.28, 63.5
94.1, 71.4, 51.3, 0, 29.77, 7.1, 15.5, 23, 34.28, 83
79.3, 43.2, 58.4, 0, 29.93, 7.2, 8.75, 16.1, 34.28, 66.5
50, 38.1, 32.2, 0, 30.07, 7.7, 16.6, 25.3, 34.28, 43.7
93.2, 66.7, 50.8, 0, 29.72, 7, 13.6, 27.5, 34.28, 81.5
87.8, 61.7, 61, 0, 29.95, 7.2, 5.75, 16.1, 34.28, 73.6
86, 60.8, 59.2, 0, 29.89, 7.3, 12.7, 23, 34.28, 76.8
64.4, 46.4, 47.7, 0, 29.96, 7.5, 11.8, 18.3, 34.28, 56.1
57.4, 37.4, 32, 0, 30.01, 7.1, 12.6, 20.8, 34.28, 47.9
51.8, 42.8, 42, 0, 30.04, 7.7, 13.2, 18.3, 34.28, 48
